date,nb_objets,saison
2016-11-06 00:00:00+00:00,102,automne
2016-11-07 00:00:00+00:00,426,automne
2016-11-08 00:00:00+00:00,329,automne
2016-11-09 00:00:00+00:00,315,automne
2016-11-10 00:00:00+00:00,288,automne
2016-11-11 00:00:00+00:00,229,automne
2016-11-12 00:00:00+00:00,155,automne
2016-11-13 00:00:00+00:00,122,automne
2016-11-14 00:00:00+00:00,440,automne
2016-11-15 00:00:00+00:00,294,automne
2016-11-16 00:00:00+00:00,337,automne
2016-11-17 00:00:00+00:00,228,automne
2016-11-18 00:00:00+00:00,276,automne
2016-11-19 00:00:00+00:00,164,automne
2016-11-20 00:00:00+00:00,67,automne
2016-11-21 00:00:00+00:00,341,automne
2016-11-22 00:00:00+00:00,290,automne
2016-11-23 00:00:00+00:00,280,automne
2016-11-24 00:00:00+00:00,223,automne
2016-11-25 00:00:00+00:00,230,automne
2016-11-26 00:00:00+00:00,175,automne
2016-11-27 00:00:00+00:00,98,automne
2016-11-28 00:00:00+00:00,432,automne
2016-11-29 00:00:00+00:00,281,automne
2016-11-30 00:00:00+00:00,286,automne
2016-12-01 00:00:00+00:00,255,hiver
2016-12-02 00:00:00+00:00,316,hiver
2016-12-03 00:00:00+00:00,157,hiver
2016-12-04 00:00:00+00:00,103,hiver
2016-12-05 00:00:00+00:00,429,hiver
2016-12-06 00:00:00+00:00,273,hiver
2016-12-07 00:00:00+00:00,281,hiver
2016-12-08 00:00:00+00:00,241,hiver
2016-12-09 00:00:00+00:00,284,hiver
2016-12-10 00:00:00+00:00,155,hiver
2016-12-11 00:00:00+00:00,110,hiver
2016-12-12 00:00:00+00:00,308,hiver
2016-12-13 00:00:00+00:00,279,hiver
2016-12-14 00:00:00+00:00,287,hiver
2016-12-15 00:00:00+00:00,296,hiver
2016-12-16 00:00:00+00:00,309,hiver
2016-12-17 00:00:00+00:00,191,hiver
2016-12-18 00:00:00+00:00,155,hiver
2016-12-19 00:00:00+00:00,439,hiver
2016-12-20 00:00:00+00:00,315,hiver
2016-12-21 00:00:00+00:00,329,hiver
2016-12-22 00:00:00+00:00,335,hiver
2016-12-23 00:00:00+00:00,235,hiver
2016-12-24 00:00:00+00:00,207,hiver
2016-12-25 00:00:00+00:00,100,hiver
2016-12-26 00:00:00+00:00,341,hiver
2016-12-27 00:00:00+00:00,359,hiver
2016-12-28 00:00:00+00:00,271,hiver
2016-12-29 00:00:00+00:00,221,hiver
2016-12-30 00:00:00+00:00,252,hiver
2016-12-31 00:00:00+00:00,152,hiver
2017-01-01 00:00:00+00:00,79,hiver
2017-01-02 00:00:00+00:00,346,hiver
2017-01-03 00:00:00+00:00,326,hiver
2017-01-04 00:00:00+00:00,270,hiver
2017-01-05 00:00:00+00:00,321,hiver
2017-01-06 00:00:00+00:00,237,hiver
2017-01-07 00:00:00+00:00,148,hiver
2017-01-08 00:00:00+00:00,93,hiver
2017-01-09 00:00:00+00:00,329,hiver
2017-01-10 00:00:00+00:00,283,hiver
2017-01-11 00:00:00+00:00,317,hiver
2017-01-12 00:00:00+00:00,285,hiver
2017-01-13 00:00:00+00:00,235,hiver
2017-01-14 00:00:00+00:00,182,hiver
2017-01-15 00:00:00+00:00,111,hiver
2017-01-16 00:00:00+00:00,336,hiver
2017-01-17 00:00:00+00:00,245,hiver
2017-01-18 00:00:00+00:00,261,hiver
2017-01-19 00:00:00+00:00,286,hiver
2017-01-20 00:00:00+00:00,271,hiver
2017-01-21 00:00:00+00:00,173,hiver
2017-01-22 00:00:00+00:00,106,hiver
2017-01-23 00:00:00+00:00,350,hiver
2017-01-24 00:00:00+00:00,304,hiver
2017-01-25 00:00:00+00:00,291,hiver
2017-01-26 00:00:00+00:00,287,hiver
2017-01-27 00:00:00+00:00,292,hiver
2017-01-28 00:00:00+00:00,129,hiver
2017-01-29 00:00:00+00:00,100,hiver
2017-01-30 00:00:00+00:00,407,hiver
2017-01-31 00:00:00+00:00,282,hiver
2017-02-01 00:00:00+00:00,252,hiver
2017-02-02 00:00:00+00:00,237,hiver
2017-02-03 00:00:00+00:00,322,hiver
2017-02-04 00:00:00+00:00,157,hiver
2017-02-05 00:00:00+00:00,117,hiver
2017-02-06 00:00:00+00:00,429,hiver
2017-02-07 00:00:00+00:00,309,hiver
2017-02-08 00:00:00+00:00,313,hiver
2017-02-09 00:00:00+00:00,257,hiver
2017-02-10 00:00:00+00:00,324,hiver
2017-02-11 00:00:00+00:00,197,hiver
2017-02-12 00:00:00+00:00,151,hiver
2017-02-13 00:00:00+00:00,388,hiver
2017-02-14 00:00:00+00:00,319,hiver
2017-02-15 00:00:00+00:00,282,hiver
2017-02-16 00:00:00+00:00,252,hiver
2017-02-17 00:00:00+00:00,262,hiver
2017-02-18 00:00:00+00:00,204,hiver
2017-02-19 00:00:00+00:00,132,hiver
2017-02-20 00:00:00+00:00,432,hiver
2017-02-21 00:00:00+00:00,310,hiver
2017-02-22 00:00:00+00:00,259,hiver
2017-02-23 00:00:00+00:00,254,hiver
2017-02-24 00:00:00+00:00,258,hiver
2017-02-25 00:00:00+00:00,145,hiver
2017-02-26 00:00:00+00:00,117,hiver
2017-02-27 00:00:00+00:00,334,hiver
2017-02-28 00:00:00+00:00,290,hiver
2017-03-01 00:00:00+00:00,278,printemps
2017-03-02 00:00:00+00:00,239,printemps
2017-03-03 00:00:00+00:00,278,printemps
2017-03-04 00:00:00+00:00,139,printemps
2017-03-05 00:00:00+00:00,111,printemps
2017-03-06 00:00:00+00:00,435,printemps
2017-03-07 00:00:00+00:00,275,printemps
2017-03-08 00:00:00+00:00,303,printemps
2017-03-09 00:00:00+00:00,246,printemps
2017-03-10 00:00:00+00:00,278,printemps
2017-03-11 00:00:00+00:00,168,printemps
2017-03-12 00:00:00+00:00,85,printemps
2017-03-13 00:00:00+00:00,357,printemps
2017-03-14 00:00:00+00:00,324,printemps
2017-03-15 00:00:00+00:00,274,printemps
2017-03-16 00:00:00+00:00,242,printemps
2017-03-17 00:00:00+00:00,282,printemps
2017-03-18 00:00:00+00:00,201,printemps
2017-03-19 00:00:00+00:00,123,printemps
2017-03-20 00:00:00+00:00,452,printemps
2017-03-21 00:00:00+00:00,211,printemps
2017-03-22 00:00:00+00:00,260,printemps
2017-03-23 00:00:00+00:00,239,printemps
2017-03-24 00:00:00+00:00,231,printemps
2017-03-25 00:00:00+00:00,144,printemps
2017-03-26 00:00:00+00:00,117,printemps
2017-03-27 00:00:00+00:00,430,printemps
2017-03-28 00:00:00+00:00,277,printemps
2017-03-29 00:00:00+00:00,278,printemps
2017-03-30 00:00:00+00:00,276,printemps
2017-03-31 00:00:00+00:00,331,printemps
2017-04-01 00:00:00+00:00,165,printemps
2017-04-02 00:00:00+00:00,146,printemps
2017-04-03 00:00:00+00:00,379,printemps
2017-04-04 00:00:00+00:00,305,printemps
2017-04-05 00:00:00+00:00,284,printemps
2017-04-06 00:00:00+00:00,264,printemps
2017-04-07 00:00:00+00:00,327,printemps
2017-04-08 00:00:00+00:00,249,printemps
2017-04-09 00:00:00+00:00,188,printemps
2017-04-10 00:00:00+00:00,500,printemps
2017-04-11 00:00:00+00:00,296,printemps
