,uic_code,code_gare,rg_libelle,alias_libelle_noncontraint,commune_libellemin,latitude_entreeprincipale_wgs84,longitude_entreeprincipale_wgs84
2616,0087491209,01514,GARES B AQUITAINE,Saint-Mariens - Saint-Yzan,Saint-Yzan-de-Soudiac,45.139072,-0.3917824
2617,0087396283,01904,GARES C PAYS DE LA LOIRE,Saint-Mars-la-Brière,Saint-Mars-la-Brière,48.0285239,0.3656778
2618,0087545350,01455,GARES B IDF LIGNE C,Saint-Martin d'Étampes,Étampes,48.427470,2.145401
2619,0087353599,02104,GARES C MIDI PYRENEES,Saint-Martin du Touch,Toulouse,43.5997881,1.3718548
2620,0087746222,00352,GARES C ALPES,Saint-Martin-Bellevue,Fillière,,
2621,0087671495,00885,GARES C AQUITAINE,Saint-Martin-d'Oney,Saint-Martin-d'Oney,43.9301115,-0.6516933
2622,0087753681,00256,GARES B PROV ALPES,Saint-Martin-de-Crau,Saint-Martin-de-Crau,43.6223344,4.8003403
2623,0087743112,00383,GARES C ALPES,Saint-Martin-du-Mont,Saint-Martin-du-Mont,46.095871,5.303003
2624,0087411413,01870,GARES C HAUTE NORMANDIE,Saint-Martin-du-Vivier,Saint-Martin-du-Vivier,49.4704151,1.1615438
2625,0087574459,01381,GARES C CENTRE,Saint-Martin-le-Beau,Saint-Martin-le-Beau,47.3552058,0.9058418
2626,0087611103,01060,GARES C MIDI PYRENEES,Saint-Martory,Saint-Martory,43.1385721,0.934859
2627,0087487892,01526,GARES C PAYS DE LA LOIRE,Saint-Mathurin-sur-Loire,Loire-Authion,47.4122473,-0.3182267
2628,0087723536,00522,GARES B RHONE ALPES,Saint-Maurice-de-Beynost,Saint-Maurice-de-Beynost,45.827421,4.976986
2629,0087582692,01271,GARES C AQUITAINE,Saint-Médard-d'Eyrans,Saint-Médard-d'Eyrans,44.7168571,-0.5057172
2630,0087584607,01229,GARES C AQUITAINE,Saint-Médard-de-Guizières,Saint-Médard-de-Guizières,45.0155723,-0.0488253
2631,0087478024,01659,GARES C BRETAGNE,Saint-Médard-sur-Ille,Saint-Médard-sur-Ille,48.2742219,-1.6674886
2632,0087742361,00385,GARES C ALPES,Saint-Michel - Valloire,Saint-Michel-de-Maurienne,45.216916,6.4719135
2633,0087547315,01433,GARES B IDF LIGNE C,Saint-Michel Notre-Dame,Paris,48.85348,2.34545
2634,0087144683,02911,GARES C LORRAINE,Saint-Michel-sur-Meurthe,Saint-Michel-sur-Meurthe,48.3269843,6.8882777
2635,0087545202,01466,GARES B IDF LIGNE C,Saint-Michel-sur-Orge,Saint-Michel-sur-Orge,48.635479,2.306632
2636,0087146217,02910,GARES C LORRAINE,Saint-Nabord,Saint-Nabord,48.0461722,6.5818945
2637,0087481705,01599,GARE ST NAZAIRE,Saint-Nazaire,Saint-Nazaire,47.286412,-2.211096
2638,0087586180,01220,GARES C AQUITAINE,Saint-Nicolas - Saint-Romain,Sauveterre-la-Lémance,,
2639,0087733071,02031,,Saint-Nom-la-Bretèche Forêt de Marly T13,Étang-la-Ville,,
2640,0087382481,02031,GARES B IDF LIGNE L,Saint-Nom-la-Bretèche Forêt de Marly,Étang-la-Ville,48.8677671,2.0509372
2641,0087281444,02430,GARES B NORD PAS DE CALAIS,Saint-Omer,Saint-Omer,50.7536204,2.2667624
2642,0087313718,02270,GARES C PICARDIE,Saint-Omer-en-Chaussée,Saint-Omer-en-Chaussée,49.5306261,1.9970829
2643,0087271247,02553,GARES B IDF LIGNE C,Saint-Ouen,Saint-Ouen-sur-Seine,48.90531,2.32257
2644,0087276105,02508,GARES B IDF LIGNE H,Saint-Ouen-l'Aumône,Saint-Ouen-l'Aumône,49.04527,2.10651
2645,0087337980,02194,GARES B IDF LIGNE H,Saint-Ouen-l'Aumône Liesse,Saint-Ouen-l'Aumône,49.0338707,2.1279345
2646,0087381426,02076,GARES B IDF LIGNE J,Saint-Ouen-l'Aumône Quartier de l'Église,Saint-Ouen-l'Aumône,49.03997,2.10369
2647,0087571554,01413,GARES C CENTRE,Saint-Paterne-Racan,Saint-Paterne-Racan,47.6042003,0.4783289
2648,0087571810,01405,GARES C CENTRE,Saint-Patrice,Coteaux-sur-Loire,47.2855394,0.3096916
2649,0087723783,00509,GARES C RHONE,Saint-Paul-de-Varax,Saint-Paul-de-Varax,46.1000331,5.1282046
2650,0087671362,00888,GARES C MIDI PYRENEES,Saint-Pé-de-Bigorre,Saint-Pé-de-Bigorre,43.1015768,-0.1619763
2651,0087761494,03083,GARES C RHONE,Saint-Péray,Saint-Péray,44.94771,4.85035
2652,0087394148,01935,GARES B CENTRE,Saint-Piat,Saint-Piat,48.5429526,1.5904889
2653,0087741223,00409,GARES B ALPES,Saint-Pierre-d'Albigny,Saint-Pierre-d'Albigny,45.557397,6.156151
2654,0087582833,01261,GARES C AQUITAINE,Saint-Pierre-d'Aurillac,Saint-Pierre-d'Aurillac,44.5752452,-0.1876216
2655,0087595520,01105,GARES C AQUITAINE,Saint-Pierre-de-Chignac,Saint-Pierre-de-Chignac,45.1234881,0.856103
2656,0087571240,01426,GARE ST PIERRE DES CORPS,Saint-Pierre-des-Corps,Saint-Pierre-des-Corps,47.386099,0.723550
2657,0087415646,01836,GARES C HAUTE NORMANDIE,Saint-Pierre-du-Vauvray,Saint-Pierre-du-Vauvray,49.2339135,1.2248947
2658,0087746313,00349,GARES C ALPES,Saint-Pierre-en-Faucigny,Saint-Pierre-en-Faucigny,46.0593442,6.3757533
2659,0087478768,01635,GARES C PAYS DE LA LOIRE,Saint-Pierre-la-Cour,Saint-Pierre-la-Cour,48.1135968,-1.0252972
2660,0087696294,00707,GARES C BOURGOGNE,Saint-Pierre-le-Moûtier,Saint-Pierre-le-Moûtier,46.7932373,3.1117427
2661,0087476440,01669,GARES C BRETAGNE,Saint-Pierre-Quiberon,Saint-Pierre-Quiberon,47.5210574,-3.138905
2662,0087444216,01812,GARES C BASSE NORMANDIE,Saint-Pierre-sur-Dives,Saint-Pierre-en-Auge,49.0231057,-0.0405855
2663,0087474569,01685,GARES C BRETAGNE,Saint-Pol-de-Léon,Saint-Pol-de-Léon,48.6768402,-3.98731
2664,0087342337,02166,GARES B NORD PAS DE CALAIS,Saint-Pol-sur-Ternoise,Saint-Pol-sur-Ternoise,50.37913,2.33939
2665,0087723353,00532,GARES B RHONE ALPES,Saint-Priest,Saint-Priest,45.686659,4.934242
2666,0087592055,01201,GARES C LIMOUSIN,Saint-Priest-Taurion,Saint-Priest-Taurion,45.8872383,1.4002297
2667,0087296004,02349,GARES B PICARDIE,Saint-Quentin,Saint-Quentin,49.8400482,3.2970089
2668,0087393843,01943,GARES B IDF LIGNE N,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,Montigny-le-Bretonneux,48.78657,2.04523
2669,0087723387,00530,GARES B RHONE ALPES,Saint-Quentin-Fallavier,Saint-Quentin-Fallavier,45.638109,5.099896
2670,0087761106,00180,GARES B RHONE ALPES,Saint-Rambert-d'Albon,Saint-Rambert-d'Albon,45.297797,4.810849
2671,0087743740,00370,GARES C ALPES,Saint-Rambert-en-Bugey,Saint-Rambert-en-Bugey,45.9473397,5.438622
2672,0087757526,00201,GARE ST RAPHAEL VALESCURE,Saint-Raphaël,Saint-Raphaël,43.423560,6.769083
2673,0087313288,02300,GARES C PICARDIE,Saint-Remy-en-l'Eau,Saint-Remy-en-l'Eau,49.4681726,2.4258609
2674,0087313080,02312,GARES C PICARDIE,Saint-Roch,Amiens,49.8933575,2.2837132
2675,0087721456,00575,GARES C RHONE,Saint-Romain-de-Popey,Saint-Romain-de-Popey,45.8616053,4.5423351
2676,0087726430,00479,GARES C RHONE,Saint-Romain-le-Puy,Saint-Romain-le-Puy,45.5545543,4.1208275
2677,0087783431,00052,GARES C MIDI PYRENEES,Saint-Rome-de-Cernon,Saint-Rome-de-Cernon,44.013981,2.9673744
2678,0087765438,00138,GARES C PROV ALPES,Saint-Saturnin-lès-Avignon,Saint-Saturnin-lès-Avignon,43.9531783,4.9352794
