date,type,nb_objets
2017-02-28 00:00:00+00:00,"Livres, articles de papéterie",212
2017-02-28 00:00:00+00:00,Optique,394
2017-02-28 00:00:00+00:00,Parapluies,86
2017-02-28 00:00:00+00:00,Pièces d'identités et papiers personnels,708
2017-02-28 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",903
2017-02-28 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",72
2017-02-28 00:00:00+00:00,"Vêtements, chaussures",908
2017-03-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1178
2017-03-31 00:00:00+00:00,"Articles d'enfants, de puériculture",72
2017-03-31 00:00:00+00:00,"Articles de sport, loisirs, camping",65
2017-03-31 00:00:00+00:00,Articles médicaux,36
2017-03-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2331
2017-03-31 00:00:00+00:00,"Bijoux, montres",69
2017-03-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",391
2017-03-31 00:00:00+00:00,Divers,130
2017-03-31 00:00:00+00:00,Instruments de musique,27
2017-03-31 00:00:00+00:00,"Livres, articles de papéterie",265
2017-03-31 00:00:00+00:00,Optique,435
2017-03-31 00:00:00+00:00,Parapluies,149
2017-03-31 00:00:00+00:00,Pièces d'identités et papiers personnels,748
2017-03-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",954
2017-03-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",118
2017-03-31 00:00:00+00:00,"Vêtements, chaussures",916
2017-04-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1227
2017-04-30 00:00:00+00:00,"Articles d'enfants, de puériculture",108
2017-04-30 00:00:00+00:00,"Articles de sport, loisirs, camping",88
2017-04-30 00:00:00+00:00,Articles médicaux,51
2017-04-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2283
2017-04-30 00:00:00+00:00,"Bijoux, montres",62
2017-04-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",408
2017-04-30 00:00:00+00:00,Divers,132
2017-04-30 00:00:00+00:00,Instruments de musique,16
2017-04-30 00:00:00+00:00,"Livres, articles de papéterie",204
2017-04-30 00:00:00+00:00,Optique,534
2017-04-30 00:00:00+00:00,Parapluies,46
2017-04-30 00:00:00+00:00,Pièces d'identités et papiers personnels,677
2017-04-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",925
2017-04-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",103
2017-04-30 00:00:00+00:00,"Vêtements, chaussures",1057
2017-05-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1208
2017-05-31 00:00:00+00:00,"Articles d'enfants, de puériculture",91
2017-05-31 00:00:00+00:00,"Articles de sport, loisirs, camping",90
2017-05-31 00:00:00+00:00,Articles médicaux,62
2017-05-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2271
2017-05-31 00:00:00+00:00,"Bijoux, montres",73
2017-05-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",450
2017-05-31 00:00:00+00:00,Divers,114
2017-05-31 00:00:00+00:00,Instruments de musique,18
2017-05-31 00:00:00+00:00,"Livres, articles de papéterie",227
2017-05-31 00:00:00+00:00,Optique,522
2017-05-31 00:00:00+00:00,Parapluies,102
2017-05-31 00:00:00+00:00,Pièces d'identités et papiers personnels,603
2017-05-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1030
2017-05-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",134
2017-05-31 00:00:00+00:00,"Vêtements, chaussures",1096
2017-06-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1347
2017-06-30 00:00:00+00:00,"Articles d'enfants, de puériculture",81
2017-06-30 00:00:00+00:00,"Articles de sport, loisirs, camping",110
2017-06-30 00:00:00+00:00,Articles médicaux,46
2017-06-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2157
2017-06-30 00:00:00+00:00,"Bijoux, montres",84
2017-06-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",401
2017-06-30 00:00:00+00:00,Divers,146
2017-06-30 00:00:00+00:00,Instruments de musique,15
2017-06-30 00:00:00+00:00,"Livres, articles de papéterie",212
2017-06-30 00:00:00+00:00,Optique,656
2017-06-30 00:00:00+00:00,Parapluies,71
2017-06-30 00:00:00+00:00,Pièces d'identités et papiers personnels,764
2017-06-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1134
2017-06-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",136
2017-06-30 00:00:00+00:00,"Vêtements, chaussures",1290
2017-07-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1324
2017-07-31 00:00:00+00:00,"Articles d'enfants, de puériculture",136
2017-07-31 00:00:00+00:00,"Articles de sport, loisirs, camping",182
2017-07-31 00:00:00+00:00,Articles médicaux,63
2017-07-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2775
2017-07-31 00:00:00+00:00,"Bijoux, montres",102
2017-07-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",390
2017-07-31 00:00:00+00:00,Divers,180
2017-07-31 00:00:00+00:00,Instruments de musique,25
2017-07-31 00:00:00+00:00,"Livres, articles de papéterie",217
2017-07-31 00:00:00+00:00,Optique,637
2017-07-31 00:00:00+00:00,Parapluies,112
2017-07-31 00:00:00+00:00,Pièces d'identités et papiers personnels,826
2017-07-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1101
2017-07-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",114
2017-07-31 00:00:00+00:00,"Vêtements, chaussures",1569
2017-08-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1131
2017-08-31 00:00:00+00:00,"Articles d'enfants, de puériculture",136
2017-08-31 00:00:00+00:00,"Articles de sport, loisirs, camping",188
2017-08-31 00:00:00+00:00,Articles médicaux,59
2017-08-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2522
2017-08-31 00:00:00+00:00,"Bijoux, montres",80
2017-08-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",350
2017-08-31 00:00:00+00:00,Divers,165
2017-08-31 00:00:00+00:00,Instruments de musique,35
2017-08-31 00:00:00+00:00,"Livres, articles de papéterie",188
2017-08-31 00:00:00+00:00,Optique,540
2017-08-31 00:00:00+00:00,Parapluies,83
2017-08-31 00:00:00+00:00,Pièces d'identités et papiers personnels,683
2017-08-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1007
2017-08-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",110
2017-08-31 00:00:00+00:00,"Vêtements, chaussures",1415
2017-09-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1108
2017-09-30 00:00:00+00:00,"Articles d'enfants, de puériculture",77
2017-09-30 00:00:00+00:00,"Articles de sport, loisirs, camping",105
2017-09-30 00:00:00+00:00,Articles médicaux,39
2017-09-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2364
2017-09-30 00:00:00+00:00,"Bijoux, montres",63
2017-09-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",362
2017-09-30 00:00:00+00:00,Divers,126
2017-09-30 00:00:00+00:00,Instruments de musique,25
2017-09-30 00:00:00+00:00,"Livres, articles de papéterie",198
2017-09-30 00:00:00+00:00,Optique,426
2017-09-30 00:00:00+00:00,Parapluies,117
2017-09-30 00:00:00+00:00,Pièces d'identités et papiers personnels,668
2017-09-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",926
2017-09-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",123
2017-09-30 00:00:00+00:00,"Vêtements, chaussures",1135
2017-10-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1229
2017-10-31 00:00:00+00:00,"Articles d'enfants, de puériculture",82
2017-10-31 00:00:00+00:00,"Articles de sport, loisirs, camping",88
2017-10-31 00:00:00+00:00,Articles médicaux,56
2017-10-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2582
2017-10-31 00:00:00+00:00,"Bijoux, montres",88
2017-10-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",382
2017-10-31 00:00:00+00:00,Divers,147
2017-10-31 00:00:00+00:00,Instruments de musique,20
2017-10-31 00:00:00+00:00,"Livres, articles de papéterie",205
2017-10-31 00:00:00+00:00,Optique,446
2017-10-31 00:00:00+00:00,Parapluies,60
2017-10-31 00:00:00+00:00,Pièces d'identités et papiers personnels,721
2017-10-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1036
2017-10-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",131
2017-10-31 00:00:00+00:00,"Vêtements, chaussures",1220
2017-11-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1105
2017-11-30 00:00:00+00:00,"Articles d'enfants, de puériculture",73
2017-11-30 00:00:00+00:00,"Articles de sport, loisirs, camping",78
2017-11-30 00:00:00+00:00,Articles médicaux,63
2017-11-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2543
2017-11-30 00:00:00+00:00,"Bijoux, montres",84
2017-11-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",341
2017-11-30 00:00:00+00:00,Divers,134
2017-11-30 00:00:00+00:00,Instruments de musique,16
2017-11-30 00:00:00+00:00,"Livres, articles de papéterie",221
2017-11-30 00:00:00+00:00,Optique,395
2017-11-30 00:00:00+00:00,Parapluies,94
2017-11-30 00:00:00+00:00,Pièces d'identités et papiers personnels,669
2017-11-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",880
2017-11-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",111
2017-11-30 00:00:00+00:00,"Vêtements, chaussures",954
2017-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1038
2017-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",89
2017-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",51
2017-12-31 00:00:00+00:00,Articles médicaux,43
2017-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2724
2017-12-31 00:00:00+00:00,"Bijoux, montres",61
2017-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",328
2017-12-31 00:00:00+00:00,Divers,131
2017-12-31 00:00:00+00:00,Instruments de musique,20
2017-12-31 00:00:00+00:00,"Livres, articles de papéterie",166
2017-12-31 00:00:00+00:00,Optique,375
2017-12-31 00:00:00+00:00,Parapluies,126
2017-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,693
2017-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1000
2017-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",72
2017-12-31 00:00:00+00:00,"Vêtements, chaussures",907
2018-01-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1150
2018-01-31 00:00:00+00:00,"Articles d'enfants, de puériculture",94
2018-01-31 00:00:00+00:00,"Articles de sport, loisirs, camping",78
2018-01-31 00:00:00+00:00,Articles médicaux,42
2018-01-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2632
2018-01-31 00:00:00+00:00,"Bijoux, montres",78
2018-01-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",367
2018-01-31 00:00:00+00:00,Divers,128
2018-01-31 00:00:00+00:00,Instruments de musique,21
2018-01-31 00:00:00+00:00,"Livres, articles de papéterie",188
2018-01-31 00:00:00+00:00,Optique,344
2018-01-31 00:00:00+00:00,Parapluies,166
2018-01-31 00:00:00+00:00,Pièces d'identités et papiers personnels,693
2018-01-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",921
2018-01-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",103
2018-01-31 00:00:00+00:00,"Vêtements, chaussures",898
2018-02-28 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1086
2018-02-28 00:00:00+00:00,"Articles d'enfants, de puériculture",84
2018-02-28 00:00:00+00:00,"Articles de sport, loisirs, camping",69
2018-02-28 00:00:00+00:00,Articles médicaux,34
2018-02-28 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2370
2018-02-28 00:00:00+00:00,"Bijoux, montres",77
2018-02-28 00:00:00+00:00,"Clés, porte-clés, badge magnétique",309
2018-02-28 00:00:00+00:00,Divers,112
2018-02-28 00:00:00+00:00,Instruments de musique,12
2018-02-28 00:00:00+00:00,"Livres, articles de papéterie",153
2018-02-28 00:00:00+00:00,Optique,320
2018-02-28 00:00:00+00:00,Parapluies,86
2018-02-28 00:00:00+00:00,Pièces d'identités et papiers personnels,601
