,region,date,n
305,Auvergne-Rhône-Alpes,2016-11-01,11
306,Auvergne-Rhône-Alpes,2016-11-02,30
307,Auvergne-Rhône-Alpes,2016-11-03,18
308,Auvergne-Rhône-Alpes,2016-11-04,26
309,Auvergne-Rhône-Alpes,2016-11-05,7
310,Auvergne-Rhône-Alpes,2016-11-06,6
311,Auvergne-Rhône-Alpes,2016-11-07,38
312,Auvergne-Rhône-Alpes,2016-11-08,19
313,Auvergne-Rhône-Alpes,2016-11-09,20
314,Auvergne-Rhône-Alpes,2016-11-10,23
315,Auvergne-Rhône-Alpes,2016-11-11,15
316,Auvergne-Rhône-Alpes,2016-11-12,14
317,Auvergne-Rhône-Alpes,2016-11-13,10
318,Auvergne-Rhône-Alpes,2016-11-14,33
319,Auvergne-Rhône-Alpes,2016-11-15,27
320,Auvergne-Rhône-Alpes,2016-11-16,56
321,Auvergne-Rhône-Alpes,2016-11-17,14
322,Auvergne-Rhône-Alpes,2016-11-18,33
323,Auvergne-Rhône-Alpes,2016-11-19,11
324,Auvergne-Rhône-Alpes,2016-11-20,5
325,Auvergne-Rhône-Alpes,2016-11-21,20
326,Auvergne-Rhône-Alpes,2016-11-22,38
327,Auvergne-Rhône-Alpes,2016-11-23,27
328,Auvergne-Rhône-Alpes,2016-11-24,20
329,Auvergne-Rhône-Alpes,2016-11-25,20
330,Auvergne-Rhône-Alpes,2016-11-26,20
331,Auvergne-Rhône-Alpes,2016-11-27,4
332,Auvergne-Rhône-Alpes,2016-11-28,49
333,Auvergne-Rhône-Alpes,2016-11-29,26
334,Auvergne-Rhône-Alpes,2016-11-30,17
335,Auvergne-Rhône-Alpes,2016-12-01,13
336,Auvergne-Rhône-Alpes,2016-12-02,54
337,Auvergne-Rhône-Alpes,2016-12-03,14
338,Auvergne-Rhône-Alpes,2016-12-04,5
339,Auvergne-Rhône-Alpes,2016-12-05,47
340,Auvergne-Rhône-Alpes,2016-12-06,21
341,Auvergne-Rhône-Alpes,2016-12-07,25
342,Auvergne-Rhône-Alpes,2016-12-08,21
343,Auvergne-Rhône-Alpes,2016-12-09,20
344,Auvergne-Rhône-Alpes,2016-12-10,11
345,Auvergne-Rhône-Alpes,2016-12-11,7
346,Auvergne-Rhône-Alpes,2016-12-12,14
347,Auvergne-Rhône-Alpes,2016-12-13,32
348,Auvergne-Rhône-Alpes,2016-12-14,19
349,Auvergne-Rhône-Alpes,2016-12-15,14
350,Auvergne-Rhône-Alpes,2016-12-16,34
351,Auvergne-Rhône-Alpes,2016-12-17,15
352,Auvergne-Rhône-Alpes,2016-12-18,27
353,Auvergne-Rhône-Alpes,2016-12-19,37
354,Auvergne-Rhône-Alpes,2016-12-20,27
355,Auvergne-Rhône-Alpes,2016-12-21,21
356,Auvergne-Rhône-Alpes,2016-12-22,22
357,Auvergne-Rhône-Alpes,2016-12-23,13
358,Auvergne-Rhône-Alpes,2016-12-24,7
359,Auvergne-Rhône-Alpes,2016-12-25,4
360,Auvergne-Rhône-Alpes,2016-12-26,22
361,Auvergne-Rhône-Alpes,2016-12-27,53
362,Auvergne-Rhône-Alpes,2016-12-28,39
363,Auvergne-Rhône-Alpes,2016-12-29,11
364,Auvergne-Rhône-Alpes,2016-12-30,27
365,Auvergne-Rhône-Alpes,2016-12-31,12
366,Auvergne-Rhône-Alpes,2017-01-01,12
367,Auvergne-Rhône-Alpes,2017-01-02,32
368,Auvergne-Rhône-Alpes,2017-01-03,32
369,Auvergne-Rhône-Alpes,2017-01-04,24
370,Auvergne-Rhône-Alpes,2017-01-05,32
371,Auvergne-Rhône-Alpes,2017-01-06,22
372,Auvergne-Rhône-Alpes,2017-01-07,13
373,Auvergne-Rhône-Alpes,2017-01-08,9
374,Auvergne-Rhône-Alpes,2017-01-09,26
375,Auvergne-Rhône-Alpes,2017-01-10,26
376,Auvergne-Rhône-Alpes,2017-01-11,28
377,Auvergne-Rhône-Alpes,2017-01-12,34
378,Auvergne-Rhône-Alpes,2017-01-13,25
379,Auvergne-Rhône-Alpes,2017-01-14,12
380,Auvergne-Rhône-Alpes,2017-01-15,12
381,Auvergne-Rhône-Alpes,2017-01-16,37
382,Auvergne-Rhône-Alpes,2017-01-17,21
383,Auvergne-Rhône-Alpes,2017-01-18,30
384,Auvergne-Rhône-Alpes,2017-01-19,20
385,Auvergne-Rhône-Alpes,2017-01-20,25
386,Auvergne-Rhône-Alpes,2017-01-21,11
387,Auvergne-Rhône-Alpes,2017-01-22,8
388,Auvergne-Rhône-Alpes,2017-01-23,35
389,Auvergne-Rhône-Alpes,2017-01-24,25
390,Auvergne-Rhône-Alpes,2017-01-25,24
391,Auvergne-Rhône-Alpes,2017-01-26,27
392,Auvergne-Rhône-Alpes,2017-01-27,36
393,Auvergne-Rhône-Alpes,2017-01-28,6
394,Auvergne-Rhône-Alpes,2017-01-29,16
395,Auvergne-Rhône-Alpes,2017-01-30,42
396,Auvergne-Rhône-Alpes,2017-01-31,26
397,Auvergne-Rhône-Alpes,2017-02-01,35
398,Auvergne-Rhône-Alpes,2017-02-02,28
399,Auvergne-Rhône-Alpes,2017-02-03,25
400,Auvergne-Rhône-Alpes,2017-02-04,15
401,Auvergne-Rhône-Alpes,2017-02-05,16
402,Auvergne-Rhône-Alpes,2017-02-06,38
403,Auvergne-Rhône-Alpes,2017-02-07,24
404,Auvergne-Rhône-Alpes,2017-02-08,26
405,Auvergne-Rhône-Alpes,2017-02-09,17
406,Auvergne-Rhône-Alpes,2017-02-10,58
407,Auvergne-Rhône-Alpes,2017-02-11,18
408,Auvergne-Rhône-Alpes,2017-02-12,14
409,Auvergne-Rhône-Alpes,2017-02-13,62
410,Auvergne-Rhône-Alpes,2017-02-14,29
411,Auvergne-Rhône-Alpes,2017-02-15,53
412,Auvergne-Rhône-Alpes,2017-02-16,21
413,Auvergne-Rhône-Alpes,2017-02-17,26
414,Auvergne-Rhône-Alpes,2017-02-18,11
415,Auvergne-Rhône-Alpes,2017-02-19,10
416,Auvergne-Rhône-Alpes,2017-02-20,42
417,Auvergne-Rhône-Alpes,2017-02-21,33
418,Auvergne-Rhône-Alpes,2017-02-22,27
419,Auvergne-Rhône-Alpes,2017-02-23,24
420,Auvergne-Rhône-Alpes,2017-02-24,38
421,Auvergne-Rhône-Alpes,2017-02-25,11
422,Auvergne-Rhône-Alpes,2017-02-26,10
423,Auvergne-Rhône-Alpes,2017-02-27,17
424,Auvergne-Rhône-Alpes,2017-02-28,29
425,Auvergne-Rhône-Alpes,2017-03-01,26
426,Auvergne-Rhône-Alpes,2017-03-02,12
427,Auvergne-Rhône-Alpes,2017-03-03,26
428,Auvergne-Rhône-Alpes,2017-03-04,8
429,Auvergne-Rhône-Alpes,2017-03-05,7
430,Auvergne-Rhône-Alpes,2017-03-06,51
431,Auvergne-Rhône-Alpes,2017-03-07,31
432,Auvergne-Rhône-Alpes,2017-03-08,29
433,Auvergne-Rhône-Alpes,2017-03-09,23
434,Auvergne-Rhône-Alpes,2017-03-10,35
435,Auvergne-Rhône-Alpes,2017-03-11,12
436,Auvergne-Rhône-Alpes,2017-03-12,8
437,Auvergne-Rhône-Alpes,2017-03-13,38
438,Auvergne-Rhône-Alpes,2017-03-14,32
439,Auvergne-Rhône-Alpes,2017-03-15,22
440,Auvergne-Rhône-Alpes,2017-03-16,32
441,Auvergne-Rhône-Alpes,2017-03-17,23
442,Auvergne-Rhône-Alpes,2017-03-18,11
443,Auvergne-Rhône-Alpes,2017-03-19,9
444,Auvergne-Rhône-Alpes,2017-03-20,58
445,Auvergne-Rhône-Alpes,2017-03-21,28
446,Auvergne-Rhône-Alpes,2017-03-22,39
447,Auvergne-Rhône-Alpes,2017-03-23,25
448,Auvergne-Rhône-Alpes,2017-03-24,19
449,Auvergne-Rhône-Alpes,2017-03-25,17
450,Auvergne-Rhône-Alpes,2017-03-26,17
451,Auvergne-Rhône-Alpes,2017-03-27,27
452,Auvergne-Rhône-Alpes,2017-03-28,16
453,Auvergne-Rhône-Alpes,2017-03-29,39
454,Auvergne-Rhône-Alpes,2017-03-30,42
455,Auvergne-Rhône-Alpes,2017-03-31,17
456,Auvergne-Rhône-Alpes,2017-04-01,12
457,Auvergne-Rhône-Alpes,2017-04-02,4
458,Auvergne-Rhône-Alpes,2017-04-03,38
459,Auvergne-Rhône-Alpes,2017-04-04,39
460,Auvergne-Rhône-Alpes,2017-04-05,20
461,Auvergne-Rhône-Alpes,2017-04-06,29
462,Auvergne-Rhône-Alpes,2017-04-07,20
463,Auvergne-Rhône-Alpes,2017-04-08,18
464,Auvergne-Rhône-Alpes,2017-04-09,14
465,Auvergne-Rhône-Alpes,2017-04-10,41
466,Auvergne-Rhône-Alpes,2017-04-11,39
467,Auvergne-Rhône-Alpes,2017-04-12,30
468,Auvergne-Rhône-Alpes,2017-04-13,47
469,Auvergne-Rhône-Alpes,2017-04-14,19
470,Auvergne-Rhône-Alpes,2017-04-15,16
471,Auvergne-Rhône-Alpes,2017-04-16,16
472,Auvergne-Rhône-Alpes,2017-04-17,9
473,Auvergne-Rhône-Alpes,2017-04-18,34
474,Auvergne-Rhône-Alpes,2017-04-19,47
475,Auvergne-Rhône-Alpes,2017-04-20,36
476,Auvergne-Rhône-Alpes,2017-04-21,25
477,Auvergne-Rhône-Alpes,2017-04-22,11
478,Auvergne-Rhône-Alpes,2017-04-23,10
479,Auvergne-Rhône-Alpes,2017-04-24,22
480,Auvergne-Rhône-Alpes,2017-04-25,43
481,Auvergne-Rhône-Alpes,2017-04-26,30
482,Auvergne-Rhône-Alpes,2017-04-27,26
483,Auvergne-Rhône-Alpes,2017-04-28,27
484,Auvergne-Rhône-Alpes,2017-04-29,13
485,Auvergne-Rhône-Alpes,2017-04-30,5
486,Auvergne-Rhône-Alpes,2017-05-01,13
487,Auvergne-Rhône-Alpes,2017-05-02,39
488,Auvergne-Rhône-Alpes,2017-05-03,18
489,Auvergne-Rhône-Alpes,2017-05-04,14
490,Auvergne-Rhône-Alpes,2017-05-05,15
491,Auvergne-Rhône-Alpes,2017-05-06,9
492,Auvergne-Rhône-Alpes,2017-05-07,1
493,Auvergne-Rhône-Alpes,2017-05-08,10
494,Auvergne-Rhône-Alpes,2017-05-09,33
495,Auvergne-Rhône-Alpes,2017-05-10,37
496,Auvergne-Rhône-Alpes,2017-05-11,27
497,Auvergne-Rhône-Alpes,2017-05-12,14
498,Auvergne-Rhône-Alpes,2017-05-13,12
499,Auvergne-Rhône-Alpes,2017-05-14,8
500,Auvergne-Rhône-Alpes,2017-05-15,35
501,Auvergne-Rhône-Alpes,2017-05-16,29
502,Auvergne-Rhône-Alpes,2017-05-17,47
503,Auvergne-Rhône-Alpes,2017-05-18,31
504,Auvergne-Rhône-Alpes,2017-05-19,28
505,Auvergne-Rhône-Alpes,2017-05-20,16
506,Auvergne-Rhône-Alpes,2017-05-21,8
507,Auvergne-Rhône-Alpes,2017-05-22,33
508,Auvergne-Rhône-Alpes,2017-05-23,12
509,Auvergne-Rhône-Alpes,2017-05-24,23
510,Auvergne-Rhône-Alpes,2017-05-25,22
511,Auvergne-Rhône-Alpes,2017-05-26,28
512,Auvergne-Rhône-Alpes,2017-05-27,7
513,Auvergne-Rhône-Alpes,2017-05-28,12
514,Auvergne-Rhône-Alpes,2017-05-29,32
515,Auvergne-Rhône-Alpes,2017-05-30,20
516,Auvergne-Rhône-Alpes,2017-05-31,56
