,region,nb_objet,freq,n,date
54,Normandie,232.0,1732109,0.0001339407623885102,2016
55,Nouvelle-Aquitaine,496.0,4816423,0.00010298098817317333,2016
56,Occitanie,271.0,3612762,7.501186073148467e-05,2016
57,Pays de la Loire,369.0,4867791,7.580440491385107e-05,2016
58,Provence-Alpes-Côte d'Azur,696.0,6709099,0.00010373971229221689,2016
59,Île-de-France,1198.0,41930789,2.85708909507999e-05,2016
60,Auvergne-Rhône-Alpes,635.0,12201062,5.204464988375602e-05,2016
61,Bourgogne-Franche-Comté,112.0,2541554,4.406752719005774e-05,2016
62,Bretagne,168.0,904297,0.00018577967194406263,2016
63,Centre-Val de Loire,158.0,2030177,7.782572652532267e-05,2016
64,Grand Est,261.0,5888703,4.432215379176026e-05,2016
65,Hauts-de-France,524.0,11446719,4.577730963780975e-05,2016
66,Normandie,211.0,1732109,0.00012181681406886057,2016
67,Nouvelle-Aquitaine,413.0,4816423,8.574828249096892e-05,2016
68,Occitanie,290.0,3612762,8.027099487871053e-05,2016
69,Pays de la Loire,354.0,4867791,7.272292503930427e-05,2016
70,Provence-Alpes-Côte d'Azur,713.0,6709099,0.00010627358457521643,2016
71,Île-de-France,1085.0,41930789,2.5875973857777872e-05,2016
72,Auvergne-Rhône-Alpes,763.0,12201062,6.253553993906432e-05,2016
73,Bourgogne-Franche-Comté,115.0,2541554,4.524790738264857e-05,2016
74,Bretagne,232.0,904297,0.00025655288030370553,2016
75,Centre-Val de Loire,160.0,2030177,7.881086230412422e-05,2016
76,Grand Est,297.0,5888703,5.0435554314761675e-05,2016
77,Hauts-de-France,524.0,11446719,4.577730963780975e-05,2016
78,Normandie,204.0,1732109,0.00011777549796231068,2016
79,Nouvelle-Aquitaine,688.0,4816423,0.00014284459649827267,2016
80,Occitanie,400.0,3612762,0.00011071861362580763,2016
81,Pays de la Loire,617.0,4867791,0.00012675153883969135,2016
82,Provence-Alpes-Côte d'Azur,952.0,6709099,0.00014189684784797482,2016
83,Île-de-France,1225.0,41930789,2.921480919426534e-05,2016
84,Auvergne-Rhône-Alpes,718.0,12201062,5.884733640399499e-05,2016
85,Bourgogne-Franche-Comté,149.0,2541554,5.862554956534467e-05,2016
86,Bretagne,262.0,904297,0.0002897278217222881,2016
87,Centre-Val de Loire,176.0,2030177,8.669194853453664e-05,2016
88,Grand Est,263.0,5888703,4.4661787154149227e-05,2016
89,Hauts-de-France,494.0,11446719,4.315647129976721e-05,2016
90,Normandie,262.0,1732109,0.00015126068855943824,2016
91,Nouvelle-Aquitaine,670.0,4816423,0.00013910738321779462,2016
92,Occitanie,342.0,3612762,9.466441465006552e-05,2016
93,Pays de la Loire,540.0,4867791,0.00011093327548368449,2016
94,Provence-Alpes-Côte d'Azur,791.0,6709099,0.00011789958681486142,2016
95,Île-de-France,1211.0,41930789,2.8880925660616593e-05,2016
96,Auvergne-Rhône-Alpes,706.0,12201062,5.7863815461309845e-05,2016
97,Bourgogne-Franche-Comté,155.0,2541554,6.0986309950526333e-05,2016
98,Bretagne,187.0,904297,0.00020679046817583162,2016
99,Centre-Val de Loire,180.0,2030177,8.866222009213974e-05,2016
100,Grand Est,355.0,5888703,6.028492182404173e-05,2016
101,Hauts-de-France,542.0,11446719,4.7349812640635275e-05,2016
102,Normandie,231.0,1732109,0.00013336343151614593,2016
103,Nouvelle-Aquitaine,468.0,4816423,9.716754529242967e-05,2016
104,Occitanie,314.0,3612762,8.691411169625899e-05,2016
105,Pays de la Loire,569.0,4867791,0.00011689080324114162,2016
106,Provence-Alpes-Côte d'Azur,685.0,6709099,0.0001021001478738054,2016
107,Île-de-France,1108.0,41930789,2.6424496805915098e-05,2016
108,Auvergne-Rhône-Alpes,713.0,12201062,5.8437536011209515e-05,2016
109,Bourgogne-Franche-Comté,133.0,2541554,5.2330188538193564e-05,2016
110,Bretagne,195.0,904297,0.00021563711922078697,2016
111,Centre-Val de Loire,182.0,2030177,8.964735587094131e-05,2016
112,Grand Est,302.0,5888703,5.128463772073409e-05,2016
113,Hauts-de-France,539.0,11446719,4.7087728806831025e-05,2016
114,Normandie,253.0,1732109,0.00014606471070815983,2016
115,Nouvelle-Aquitaine,559.0,4816423,0.00011606123465484655,2016
116,Occitanie,257.0,3612762,7.11367092545814e-05,2016
117,Pays de la Loire,467.0,4867791,9.593674009422344e-05,2016
118,Provence-Alpes-Côte d'Azur,651.0,6709099,9.70324033078063e-05,2016
119,Île-de-France,1151.0,41930789,2.7449996230693393e-05,2016
120,Auvergne-Rhône-Alpes,657.0,12201062,5.384777161201213e-05,2016
121,Bourgogne-Franche-Comté,112.0,2541554,4.406752719005774e-05,2016
122,Bretagne,136.0,904297,0.00015039306776424118,2016
123,Centre-Val de Loire,167.0,2030177,8.225883752992966e-05,2016
124,Grand Est,302.0,5888703,5.128463772073409e-05,2016
125,Hauts-de-France,525.0,11446719,4.58646709157445e-05,2016
126,Normandie,181.0,1732109,0.00010449688789793252,2016
127,Nouvelle-Aquitaine,485.0,4816423,0.00010069713561288118,2016
128,Occitanie,235.0,3612762,6.504718550516197e-05,2016
129,Pays de la Loire,506.0,4867791,0.00010394858776804509,2016
130,Provence-Alpes-Côte d'Azur,567.0,6709099,8.451209320357324e-05,2016
131,Île-de-France,1054.0,41930789,2.513666031898422e-05,2016
132,Auvergne-Rhône-Alpes,688.0,12201062,5.6388534047282115e-05,2016
133,Bourgogne-Franche-Comté,103.0,2541554,4.052638661228524e-05,2016
134,Bretagne,218.0,904297,0.00024107124097503364,2016
135,Centre-Val de Loire,179.0,2030177,8.816965220273897e-05,2016
136,Grand Est,294.0,5888703,4.992610427117822e-05,2016
137,Hauts-de-France,563.0,11446719,4.918439947726506e-05,2016
138,Normandie,205.0,1732109,0.00011835282883467496,2016
139,Nouvelle-Aquitaine,570.0,4816423,0.00011834508721513871,2016
140,Occitanie,282.0,3612762,7.805662260619437e-05,2016
141,Pays de la Loire,494.0,4867791,0.00010148340386840766,2016
142,Provence-Alpes-Côte d'Azur,611.0,6709099,9.107035087721913e-05,2016
143,Île-de-France,1007.0,41930789,2.4015765598877714e-05,2016
144,Auvergne-Rhône-Alpes,728.0,12937987,5.626841331653835e-05,2017
145,Bourgogne-Franche-Comté,82.0,2677676,3.062357058882404e-05,2017
146,Bretagne,146.0,956024,0.00015271583140172214,2017
147,Centre-Val de Loire,164.0,2113713,7.758858463755486e-05,2017
148,Grand Est,299.0,6147367,4.863870987367437e-05,2017
149,Hauts-de-France,568.0,12056422,4.711182140107571e-05,2017
150,Normandie,210.0,1812054,0.00011589058604213782,2017
151,Nouvelle-Aquitaine,533.0,5506383,9.679675387636494e-05,2017
152,Occitanie,239.0,3799770,6.289854385923359e-05,2017
153,Pays de la Loire,447.0,5149394,8.680633099739503e-05,2017
154,Provence-Alpes-Côte d'Azur,523.0,7260851,7.203012429259325e-05,2017
155,Île-de-France,1127.0,43624152,2.583431306584481e-05,2017
156,Auvergne-Rhône-Alpes,757.0,12937987,5.8509874836015836e-05,2017
157,Bourgogne-Franche-Comté,106.0,2677676,3.958656685872376e-05,2017
158,Bretagne,174.0,956024,0.00018200379906780582,2017
159,Centre-Val de Loire,176.0,2113713,8.326579814761985e-05,2017
160,Grand Est,313.0,6147367,5.09161076604016e-05,2017
161,Hauts-de-France,511.0,12056422,4.2384050591460714e-05,2017
162,Normandie,177.0,1812054,9.767920823551616e-05,2017
163,Nouvelle-Aquitaine,428.0,5506383,7.77279749701392e-05,2017
164,Occitanie,220.0,3799770,5.789824120933635e-05,2017
165,Pays de la Loire,400.0,5149394,7.767904339811636e-05,2017
166,Provence-Alpes-Côte d'Azur,491.0,7260851,6.762292739514969e-05,2017
167,Île-de-France,1132.0,43624152,2.59489284743002e-05,2017
168,Auvergne-Rhône-Alpes,779.0,12937987,6.0210293919757376e-05,2017
169,Bourgogne-Franche-Comté,113.0,2677676,4.220077410411118e-05,2017
170,Bretagne,149.0,956024,0.00015585382793737395,2017
171,Centre-Val de Loire,201.0,2113713,9.509332629358858e-05,2017
172,Grand Est,391.0,6147367,6.360446675788187e-05,2017
173,Hauts-de-France,498.0,12056422,4.130578707347835e-05,2017
174,Normandie,204.0,1812054,0.00011257942644093388,2017
175,Nouvelle-Aquitaine,570.0,5506383,0.00010351622834808258,2017
176,Occitanie,260.0,3799770,6.842519415648842e-05,2017
177,Pays de la Loire,480.0,5149394,9.321485207773963e-05,2017
178,Provence-Alpes-Côte d'Azur,565.0,7260851,7.781457022048793e-05,2017
179,Île-de-France,1024.0,43624152,2.3473235651663785e-05,2017
180,Auvergne-Rhône-Alpes,740.0,12937987,5.719591463494283e-05,2017
181,Bourgogne-Franche-Comté,147.0,2677676,5.4898352153135776e-05,2017
182,Bretagne,206.0,956024,0.00021547576211475864,2017
183,Centre-Val de Loire,175.0,2113713,8.27926970217811e-05,2017
