date,type,nb_objets
2016-01-25 00:00:00+00:00,"Livres, articles de papéterie",6
2016-01-25 00:00:00+00:00,Optique,20
2016-01-25 00:00:00+00:00,Parapluies,2
2016-01-25 00:00:00+00:00,Pièces d'identités et papiers personnels,29
2016-01-25 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",40
2016-01-25 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",7
2016-01-25 00:00:00+00:00,"Vêtements, chaussures",67
2016-01-26 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",42
2016-01-26 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-26 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-26 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",64
2016-01-26 00:00:00+00:00,"Bijoux, montres",3
2016-01-26 00:00:00+00:00,"Clés, porte-clés, badge magnétique",26
2016-01-26 00:00:00+00:00,Divers,4
2016-01-26 00:00:00+00:00,"Livres, articles de papéterie",9
2016-01-26 00:00:00+00:00,Optique,13
2016-01-26 00:00:00+00:00,Parapluies,5
2016-01-26 00:00:00+00:00,Pièces d'identités et papiers personnels,26
2016-01-26 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",34
2016-01-26 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",4
2016-01-26 00:00:00+00:00,"Vêtements, chaussures",28
2016-01-27 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",27
2016-01-27 00:00:00+00:00,"Articles d'enfants, de puériculture",4
2016-01-27 00:00:00+00:00,Articles médicaux,2
2016-01-27 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",65
2016-01-27 00:00:00+00:00,"Bijoux, montres",2
2016-01-27 00:00:00+00:00,"Clés, porte-clés, badge magnétique",24
2016-01-27 00:00:00+00:00,Divers,3
2016-01-27 00:00:00+00:00,"Livres, articles de papéterie",8
2016-01-27 00:00:00+00:00,Optique,10
2016-01-27 00:00:00+00:00,Parapluies,1
2016-01-27 00:00:00+00:00,Pièces d'identités et papiers personnels,18
